state,gender,year,name,number
PA,F,2013,Eden,70
SC,F,2013,Jayla,42
SD,F,2013,Ava,50
TN,F,2013,Payton,56
TN,F,2013,Samantha,91
TN,F,2013,Lily,178
TX,F,2013,Grace,513
TX,F,2013,Eva,262
TX,F,2013,Janiyah,46
TX,F,2013,Dakota,88
TX,F,2013,Isis,39
TX,F,2013,Jaliyah,58
TX,F,2013,Eloise,44
TX,F,2013,Angel,113
TX,F,2013,Anahi,148
TX,F,2013,Gloria,93
TX,F,2013,Grecia,50
TX,F,2013,Madelyn,364
TX,F,2013,Michelle,269
TX,F,2013,Allyson,169
TX,F,2013,Kylie,364
TX,F,2013,Jazmine,116
TX,F,2013,Janney,63
TX,F,2013,Nathalie,110
TX,F,2013,Wendy,63
TX,F,2013,Crystal,107
TX,F,2013,Johanna,69
TX,F,2013,Iliana,87
TX,F,2013,Alina,128
TX,F,2013,Galilea,92
TX,F,2013,Kaliyah,49
TX,F,2013,Lexie,74
TX,F,2013,Gabrielle,131
TX,F,2013,Ana,277
UT,F,2013,Ella,105
UT,F,2013,Quinn,59
UT,F,2013,Audrey,68
VA,F,2013,Mya,61
VA,F,2013,Michelle,39
VA,F,2013,Katelyn,60
VA,F,2013,Amiyah,37
WA,F,2013,Fiona,71
WA,F,2013,Adelaide,37
WA,F,2013,Esther,45
WA,F,2013,Paisley,81
WA,F,2013,Olive,43
WA,F,2013,Katherine,77
WI,F,2013,Adelyn,46
WI,F,2013,Ella,212
WI,F,2013,Anna,104
AL,F,2013,Isabella,181
AL,F,2013,Emma,327
AL,F,2013,Elizabeth,169
AL,F,2013,Hayden,38
AL,F,2013,Bella,63
AR,F,2013,Khloe,40
AZ,F,2013,Isabel,66
AZ,F,2013,Mila,123
AZ,F,2013,Savannah,94
CA,F,2013,Leanna,58
CA,F,2013,Grecia,42
CA,F,2013,Salma,45
CA,F,2013,Erica,53
CA,F,2013,Madalynn,39
CA,F,2013,London,254
CA,F,2013,Kaylie,132
CA,F,2013,Marilyn,253
CA,F,2013,Amelia,700
CA,F,2013,Leia,110
CA,F,2013,Maryam,38
CA,F,2013,Yuliana,54
CA,F,2013,Aiyana,70
CA,F,2013,Guadalupe,204
CA,F,2013,Raegan,65
CA,F,2013,Samara,67
CA,F,2013,Destiny,415
CA,F,2013,Dylan,102
CA,F,2013,Maddison,95
CO,F,2013,Olive,37
CO,F,2013,Kate,46
CO,F,2013,Brielle,49
CO,F,2013,Aliyah,38
CO,F,2013,Sadie,76
CO,F,2013,Alexis,87
CO,F,2013,Eva,61
CT,F,2013,Gianna,82
CT,F,2013,Natalie,67
CT,F,2013,Zoey,46
FL,F,2013,Priscilla,43
FL,F,2013,Alison,37
FL,F,2013,Aubrey,400
FL,F,2013,Reese,100
FL,F,2013,Adelyn,57
FL,F,2013,Alexa,223
FL,F,2013,Adalyn,73
