Ten_San_Pham,Tu_Gia,Den_Gia,Gia_Goc,Thuong_Hieu
Laptop gaming ASUS Tuf Gaming F15 FX506HF-HN078W (i5-11260H/RAM 16GB/GeForce RTX 2050/512GB SSD/ Windows 11),16990000,0,19990000,ASUS
Laptop gaming ACER Nitro V ANV15-51-58AN (i5-13420H/RAM 8GB/GeForce RTX 2050/512GB SSD/ Windows 11),18990000,0,21490000,ACER
Laptop HP Probook 440 G11 - A74BHPT (Ultra 7-155U/RAM 16GB/Onboard/512GB SSD/ Windows 11),25690000,0,27690000,HP
Laptop HP 15-fd0306TU - A2NL7PA (i3-1315U/RAM 8GB/Onboard/256GB SSD/ Windows 11),11790000,0,12490000,HP
Laptop Asus Vivobook X1504VA-NJ070W (i5-1335U) (Xanh),16290000,0,18490000,ASUS
Laptop Dell Vostro 5630 - i5U165W11GRU (i5-1335U/RAM 16GB/Onboard/512GB SSD/ Windows 11 + Office),23690000,0,25690000,DELL
Laptop gaming ACER Nitro 5 AN515-58-5193 (i5-12450H/RAM 16GB/GeForce RTX 4050/512GB SSD/ Windows 11),26990000,0,28990000,ACER
Laptop HP EliteBook 640 G10 (873G4PA) (i5-1335U/RAM 16GB/Onboard/512GB SSD/ Windows 11),21490000,0,25590000,HP
Laptop Lenovo Legion Pro 5 16IRX9 - 83DF0047VN (i9-14900HX) (Xám),45990000,0,49990000,LENOVO
Laptop Dell Inspiron 5640 - N6I5419W1 (i5-1334U/RAM 16GB/Onboard/512GB SSD/ Windows 11 + Office),23490000,0,23690000,DELL
Laptop HP Pavilion X360 14-ek1049TU - 80R27PA (i5-1335U),21790000,0,24190000,HP
Laptop HP Pavilion 15-eg3093TU (8C5L4PA) (i5-1335U) (Vàng),18990000,0,21290000,HP
Laptop HP ProBook 440 G10 - 873B8PA (i7-1355U) (Bạc),23790000,0,26090000,HP
Laptop HP Pavilion 15-eg3111TU (8U6L8PA) (i5-1335U/RAM 16GB/Onboard/512GB SSD/ Windows 11),18990000,0,21290000,HP
Laptop ASUS Vivobook 16 X1605VA-MB105W (i5-1335U/RAM 8GB/Onboard/512GB SSD/ Windows 11),14190000,0,18190000,ASUS
Laptop ASUS Zenbook 14 OLED - UX3405MA-PP588W (Ultra 5-125H/RAM 16GB/Onboard/512GB SSD/ Windows 11),26690000,0,28990000,ASUS
Laptop MSI Prestige 13 AI Evo A1MG-062VN (Ultra 7 155H) (Xám),32990000,0,33990000,MSI
Laptop gaming Lenovo Legion 5 16IRX9 - 83DG0051VN (i7-14650HX/RAM 16GB/GeForce RTX 4060/1TB SSD/ Windows 11),40990000,0,45990000,LENOVO
Laptop Lenovo IdeaPad Slim 5 14IMH9 - 83DA006TVN (Ultra 5-125H/RAM 16GB/Onboard/1TB SSD/ Windows 11),23690000,0,0,LENOVO
Laptop gaming Lenovo LOQ 15ARP9 - 83JC003VVN (Ryzen 7 7435HS/RAM 12GB/GeForce RTX 4050/512GB SSD/ Windows 11),24990000,0,27490000,LENOVO
Laptop HP Envy x360 14-fc0088TU - A19BYPA (Ultra 7-155U/RAM 16GB/Onboard/1TB SSD/ Windows 11),32290000,33790000,34790000,HP
Laptop Lenovo IdeaPad 3 - 14ABA7-82RM003UVN (AMD Ryzen 7 5825U) (Xám),12990000,0,16390000,LENOVO
Laptop Dell Inspiron T7430 - N7430I58W1 (i5-1335U) (Bạc),23290000,0,25490000,DELL
Laptop gaming Lenovo Legion 5 16IRX9 - 83DG004XVN (i7-13650HX/RAM 16GB/GeForce RTX 4060/512GB SSD/ Windows 11),39990000,0,42990000,LENOVO
Laptop HP ProBook 440 G10 - 9H8U9PT (i7-1355U) (Bạc),23790000,0,26090000,HP
Laptop HP 15s 15-fd1058TU - 9Z2X6PA (Ultra 7-155H/RAM 16GB/Onboard/1TB SSD/ Windows 11),23890000,0,25490000,HP
"Apple MacBook Pro M3 14.2"" (16GB/512GB SSD)",44990000,0,0,APPLE
Laptop GIGABYTE G5 ME (i5-12500H/RAM 8GB/RTX 3050Ti/512GB SSD/ Windows 11),19690000,0,27090000,GIGABYTE
Laptop LG Gram 2023 14Z90R-G.AH53A5 (i5-1340P/RAM 16GB/256GB SSD),24490000,0,32490000,LG
Laptop gaming ACER Nitro 5 Tiger AN515-58-5935 (i5-12450H/RTX 4050/RAM 8GB/512GB SSD/ Windows 11),25790000,0,26990000,ACER
Laptop Dell Inspiron 14 5430 - i5P165W11SL2050 (i5-1340P/RAM 16GB/GeForce RTX 2050/512GB SSD/ Windows 11 + Office),27890000,0,29790000,DELL
MacBook Pro 14 inch M3 2023 (8GB/512GB SSD),38390000,0,40890000,APPLE
Laptop gaming Lenovo Legion Pro 5 16IRX9 - 83DF0046VN (i9-14900HX/RAM 32GB/GeForce RTX 4070/1TB SSD/ Windows 11),51990000,0,56990000,LENOVO
Laptop gaming Lenovo LOQ 15IAX9 - 83GS001RVN (i5-12450HX/RAM 12GB/GeForce RTX 3050/512GB SSD/ Windows 11),21490000,0,23990000,LENOVO
Laptop gaming ASUS TUF Gaming F15 FX507VI-LP088W (i7-13620H/RAM 16GB/GeForce RTX 4070/512GB SSD/ Windows 11),37490000,0,45990000,ASUS
Laptop HP ProBook 440 G9 (6M0X3PA) (i5-1235U),19290000,0,21490000,HP
Laptop ASUS Vivobook S 14 Flip TP3402VA-LZ118W (i9-13900H/RAM 16GB/Onboard/512GB SSD/ Windows 11),22890000,0,26490000,ASUS
Laptop Asus Zenbook 14 OLED UX3402VA-KM068W (i7-1360P) (Xanh),26890000,0,31990000,ASUS
Laptop LG Gram 14Z90RS-G.AH54A5 (i5-1340P) (Trắng),31090000,0,38990000,LG
Laptop MSI Modern 15 B7M-238VN (AMD Ryzen 7 7730U) (Đen),13990000,0,16990000,MSI
Laptop HP ProBook 450 G10 - 873J7PA (i5-1340P/RAM 16GB/Onboard/512GB SSD/ Windows 11),20990000,0,23590000,HP
MacBook Pro 14 inch M3 2023 (16GB/512GB SSD),44290000,0,44990000,APPLE
Laptop gaming ACER Nitro V ANV15-51-53NE (i5-13420H/RAM 16GB/GeForce RTX 2050/512GB SSD/ Windows 11),20490000,0,23990000,ACER
Laptop Lenovo Yoga 7 2-in-1 14IML9 - 83DJ001FVN (Ultra 7-155H/RAM 16GB/Onboard/512GB SSD/ Windows 11 + Office),30490000,0,30990000,LENOVO
Laptop gaming HP Victus 16-r0231TX - 9Q982PA (i5-13500H/RAM 32GB/GeForce RTX 3050/512GB SSD/ Windows 11),29390000,0,31690000,HP
Laptop ASUS Gaming Vivobook 16X K3605ZC-RP564W (i5-12500H/RAM 16GB/GeForce RTX 3050/512GB SSD/ Windows 11),19990000,0,24990000,ASUS
Laptop HP Envy X360 14-fc0091TU - A19C1PA (Ultra 5-125U/RAM 16GB/Onboard/1TB SSD/ Windows 11),29990000,0,31290000,HP
Laptop gaming HP Victus 16-e1106AX (7C0T1PA) (Ryzen 5 6600H/RAM 8GB/GeForce RTX 3050Ti/512GB SSD/ Windows 11),18990000,0,26490000,HP
Laptop HP Probook 450 G10 - 873D3PA (i7-1355U/RAM 16GB/Onboard/512GB SSD/ Windows 11),23790000,0,26990000,HP
MacBook Air M3 2024 13 inch (8GB/256GB SSD),27290000,0,27990000,APPLE
Laptop gaming ASUS TUF Gaming F15 FX507VU-LP197W (i7-13620H/RAM 32GB/GeForce RTX 4050/512GB SSD/ Windows 11),32990000,0,33990000,ASUS
Laptop Dell Inspiron 14 5440 - N5440-C5U165W11IBD2 (Core 5 120U) (Xanh),25890000,0,27190000,DELL
Laptop HP Envy x360 14-fa0049AU - A19BRPA (Ryzen 5 8640HS/RAM 16GB/Onboard/1TB SSD/ Windows 11),27790000,0,29990000,HP
Laptop HP 14-ep1007TU - 9Z2W1PA (Core 7 150U/RAM 16GB/Onboard/512GB SSD/ Windows 11),21990000,0,27990000,HP
